index,distance,radius,cd_lb_energy
1,1.5,1.8,-1.1
2,2.11,1.8,-1.0
3,3.1,1.7,-0.3
4,4.1,1.7,-0.1
5,5.5,1.6,-0.0
6,6.1,1.5,-0.0
7,7.1,1.4,-0.2
8,8.1,1.4,-0.4
9,9.1,1.3,-0.4
10,10.3,1.3,-0.5
11,11.6,1.3,-0.5
12,12.6,1.4,-0.5
13,13.1,1.4,-0.3
14,14.5,1.4,-0.4
15,15.1,1.4,-0.8
16,16.1,1.5,-1.1
17,17.4,1.6,-1.5
18,18.8,1.7,-1.8
19,19.1,1.7,-2.1
20,20.1,1.8,-2.3
21,21.1,1.8,-2.3
22,22.5,1.9,-2.4
23,23.8,2.0,-2.4
24,24.1,2.0,-2.5
25,25.1,2.1,-2.6
26,26.1,2.1,-2.6
27,27.9,2.1,-2.8
28,28.3,2.1,-2.8
29,29.1,2.2,-2.7
30,30.4,2.2,-2.7
31,31.1,2.2,-2.7
32,32.4,2.3,-2.8
33,33.1,2.3,-2.7
34,34.1,2.3,-2.8
